Booking ID,Status,Activity / Add-On,First Name,Last Name,Tickets / Items,Purchase Date,Activity Date,Activity Time,Promotion Code,Voucher Code,Bookings,Guests,List Price,Discount,Customer Fees,Total,Payable To You,Your Net Revenue,Notes,Payout Date,Payout Transaction ID
B-55D9JRA,confirmed,Crate of Glass,XXXXX,XXXXX,Refund,2023-03-16,2023-03-14,9:30pm,,,0,0,-$10.00,$0.00,-$1.30,-$11.30,-$10.46,-$9.76,,2023-03-21,100536051280929
B-55D9JRA,confirmed,Large Item,XXXXX,XXXXX,Refund,2023-03-16,2023-03-14,9:30pm,,,0,0,-$15.00,$0.00,-$1.95,-$16.95,-$15.69,-$14.64,,2023-03-21,100536051280929
B-55D9JRA,confirmed,Video,XXXXX,XXXXX,1x Video,2023-03-14,2023-03-14,9:30pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.69,$14.64,,2023-03-17,100536051164407
B-55D9JRA,confirmed,Color bomb,XXXXX,XXXXX,Refund,2023-03-16,2023-03-14,9:30pm,,,0,0,-$25.50,$0.00,-$3.33,-$28.83,-$26.70,-$24.90,,2023-03-21,100536051280929
B-55D9JRA,confirmed,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-03-14,2023-03-14,9:30pm,,,0,0,$10.00,$0.00,$1.30,$11.30,$10.46,$9.76,,2023-03-17,100536051164407
B-55D9JRA,confirmed,Water,XXXXX,XXXXX,3x Water,2023-03-14,2023-03-14,9:30pm,,,1,0,$3.00,$0.00,$0.39,$3.39,$3.15,$2.94,,2023-03-17,100536051164407
B-KYDWYKM,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-13,2023-03-14,8:00pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-16,100536051084960
B-RA58M7E,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-03-14,2023-03-16,8:30pm,,,0,0,$10.00,$0.00,$1.30,$11.30,$10.46,$9.76,,2023-03-17,100536051164407
B-RA58M7E,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-14,2023-03-16,8:30pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.92,$19.52,,2023-03-17,100536051164407
B-RA58M7E,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-16,2023-03-16,8:30pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.39,$29.29,,2023-03-21,100536051280929
B-EJKZZ5A,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-03,2023-03-17,4:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-03-08,100536050301305
B-NZNKGWX,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-17,2023-03-18,2:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.39,$29.29,,2023-03-22,100536051328628
B-NZNKGWX,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-03-17,2023-03-18,2:00pm,,,1,0,$10.00,$0.00,$1.30,$11.30,$10.46,$9.76,,2023-03-22,100536051328628
B-NZNKGWX,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-03-17,2023-03-18,2:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-03-22,100536051328628
B-8PDEEY9,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-15,2023-03-18,3:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.91,$19.51,"Custom message: ""Happy 8th Anniversary""",2023-03-20,100536051232091
B-8PDEEY9,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-15,2023-03-18,3:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.36,$29.26,"Custom message: ""Happy 8th Anniversary""",2023-03-20,100536051232091
B-AGYNWZ8,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-13,2023-03-18,2:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.28,$29.18,,2023-03-16,100536051084960
B-9XDYRK5,confirmed,Video,XXXXX,XXXXX,1x Video,2023-03-16,2023-03-18,7:45pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,wants to reschedule,2023-03-21,100536051280929
B-GJD3RRP,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-14,2023-03-18,2:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-03-17,100536051164407
B-ZG5Z9XM,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-03-18,2023-03-18,1:30pm,,,0,0,$17.00,$0.00,$2.22,$19.22,$17.76,$16.56,,2023-03-23,100536051363374
B-ZG5Z9XM,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-03-18,2023-03-18,1:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.67,$14.62,,2023-03-23,100536051363374
B-V4N96EN,confirmed,Video,XXXXX,XXXXX,1x Video,2023-03-05,2023-03-19,4:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.66,$14.61,,2023-03-09,100536050339930
B-V4N96EN,confirmed,Water,XXXXX,XXXXX,2x Water,2023-03-05,2023-03-19,4:00pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-09,100536050339930
B-AG87VG8,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-18,2023-03-20,4:15pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.43,$29.33,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Wreck It Tee,XXXXX,XXXXX,2x Wreck It Tee,2023-03-18,2023-03-20,4:15pm,,,0,0,$60.00,$0.00,$7.80,$67.80,$62.86,$58.66,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Color bomb,XXXXX,XXXXX,4x (1) Color Bomb,2023-03-18,2023-03-20,4:15pm,,,0,0,$34.00,$0.00,$4.44,$38.44,$35.64,$33.24,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-18,2023-03-20,4:15pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Crate of Glass,XXXXX,XXXXX,2x 1 crate,2023-03-18,2023-03-20,4:15pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.96,$19.56,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Large Item,XXXXX,XXXXX,2x Large Item,2023-03-18,2023-03-20,4:15pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.42,$29.32,,2023-03-23,100536051363374
B-AG87VG8,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-18,2023-03-20,4:15pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.71,$14.66,,2023-03-23,100536051363374
B-4R83Y9A,fulfilled,Wreck It Tee,XXXXX,XXXXX,1x Wreck It Tee,2023-03-20,2023-03-20,8:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.35,$29.25,,2023-03-23,100536051363374
B-4R83Y9A,fulfilled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-03-20,2023-03-20,8:00pm,,,0,0,$8.50,$0.00,$1.11,$9.61,$8.89,$8.29,,2023-03-23,100536051363374
B-67YW48Z,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-03-17,2023-03-21,5:30pm,,,1,0,$17.00,$0.00,$2.22,$19.22,$17.78,$16.58,Happy Anniversary Alex,2023-03-22,100536051328628
B-67YW48Z,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-17,2023-03-21,5:30pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,Happy Anniversary Alex,2023-03-22,100536051328628
B-67YW48Z,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-17,2023-03-21,5:30pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.90,$19.50,Happy Anniversary Alex,2023-03-22,100536051328628
B-ME39DR8,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-20,2023-03-22,4:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.63,$14.58,,2023-03-23,100536051363374
B-ME39DR8,fulfilled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-03-20,2023-03-22,4:00pm,,,1,0,$8.50,$0.00,$1.11,$9.61,$8.86,$8.26,,2023-03-23,100536051363374
B-NZ5G3X3,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-03-23,2023-03-23,8:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-03-28,100536051543269
B-77GWGXZ,canceled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-03-19,2023-03-24,7:30pm,,,1,0,$10.00,$0.00,$1.30,$11.30,$10.43,$9.73,,2023-03-23,100536051363374
B-77GWGXZ,canceled,Crate of Glass,XXXXX,XXXXX,Refund,2023-03-21,2023-03-24,7:30pm,,,0,0,-$10.00,$0.00,-$1.30,-$11.30,-$10.43,-$9.73,,2023-03-24,100536051416898
B-KY9X3ZY,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-03-24,2023-03-25,4:30pm,,,1,0,$17.00,$0.00,$2.22,$19.22,$17.80,$16.60,,2023-03-29,100536051585629
B-NZNJ8Z6,canceled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-11,2023-03-25,6:30pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.90,$19.50,,2023-03-16,100536051084960
B-NZNJ8Z6,canceled,Custom Message,XXXXX,XXXXX,Refund,2023-03-13,2023-03-25,6:30pm,,,0,0,-$20.00,$0.00,-$2.60,-$22.60,-$20.90,-$19.50,,2023-03-16,100536051084960
B-NZNJ8Z6,canceled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-03-11,2023-03-25,6:30pm,,,0,0,$8.50,$0.00,$1.11,$9.61,$8.89,$8.29,,2023-03-16,100536051084960
B-NZNJ8Z6,canceled,Video,XXXXX,XXXXX,Refund,2023-03-13,2023-03-25,6:30pm,,,0,0,-$15.00,$0.00,-$1.95,-$16.95,-$15.68,-$14.63,,2023-03-16,100536051084960
B-NZNJ8Z6,canceled,Color bomb,XXXXX,XXXXX,Refund,2023-03-13,2023-03-25,6:30pm,,,0,0,-$8.50,$0.00,-$1.11,-$9.61,-$8.89,-$8.29,,2023-03-16,100536051084960
B-NZNJ8Z6,canceled,Video,XXXXX,XXXXX,1x Video,2023-03-11,2023-03-25,6:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-03-16,100536051084960
B-GJXJ6Y4,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-02-17,2023-03-25,7:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.95,$19.55,Include a 15% discount for rescheduling,2023-02-23,100536049738044
B-77GNZAA,canceled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-24,2023-03-25,6:00pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.94,$19.54,,2023-03-29,100536051585629
B-77GNZAA,canceled,Custom Message,XXXXX,XXXXX,Refund,2023-03-25,2023-03-25,6:00pm,,,0,0,-$20.00,$0.00,-$2.60,-$22.60,-$20.94,-$19.54,,2023-03-30,100536051642884
B-77GNZAA,canceled,Video,XXXXX,XXXXX,1x Video,2023-03-24,2023-03-25,6:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-03-29,100536051585629
B-77GNZAA,canceled,Video,XXXXX,XXXXX,Refund,2023-03-25,2023-03-25,6:00pm,,,0,0,-$15.00,$0.00,-$1.95,-$16.95,-$15.70,-$14.65,,2023-03-30,100536051642884
B-ME3EZ3N,canceled,Video,XXXXX,XXXXX,Refund,2023-05-02,2023-03-26,2:45pm,,,0,0,-$15.00,$0.00,-$1.95,-$16.95,-$15.66,-$14.61,,2023-05-05,100536053811654
B-ME3EZ3N,canceled,Video,XXXXX,XXXXX,1x Video,2023-03-22,2023-03-26,2:45pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.66,$14.61,,2023-03-24,100536051416898
B-ME3EZ3N,canceled,Color bomb,XXXXX,XXXXX,Refund,2023-05-02,2023-03-26,2:45pm,,,0,0,-$8.50,$0.00,-$1.11,-$9.61,-$8.88,-$8.28,,2023-05-05,100536053811654
B-ME3EZ3N,canceled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-03-22,2023-03-26,2:45pm,,,1,0,$8.50,$0.00,$1.11,$9.61,$8.88,$8.28,,2023-03-24,100536051416898
B-V43YV6V,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-24,2023-03-26,3:45pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.66,$14.61,,2023-03-29,100536051585629
B-V43YV6V,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-24,2023-03-26,3:45pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-29,100536051585629
B-V439A8M,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-20,2023-03-26,1:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-03-23,100536051363374
B-X9VGVE3,fulfilled,Video,XXXXX,XXXXX,2x Video,2023-03-26,2023-03-27,9:30pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.34,$29.24,,2023-03-30,100536051642884
B-DP8JM6P,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-27,2023-03-27,7:15pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,2023-03-30,100536051642884
B-3Z8V596,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-26,2023-03-28,7:30pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-30,100536051642884
B-3Z8V596,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-26,2023-03-28,7:30pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.61,$14.56,,2023-03-30,100536051642884
B-ZGR4EZW,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-26,2023-03-29,4:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.88,$19.48,,2023-03-30,100536051642884
B-DP89KWX,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-27,2023-03-30,6:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-03-30,100536051642884
B-ME35RMV,canceled,Custom Message,XXXXX,XXXXX,Refund,2023-03-24,2023-03-30,4:00pm,,,0,0,-$20.00,$0.00,-$2.60,-$22.60,-$20.88,-$19.48,,2023-03-29,100536051585629
B-ME35RMV,canceled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-19,2023-03-30,4:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.88,$19.48,,2023-03-23,100536051363374
B-8P8WD7Y,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-20,2023-03-30,8:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.35,$29.25,,2023-03-23,100536051363374
B-8P8WD7Y,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-20,2023-03-30,8:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-03-23,100536051363374
B-9XG8JRV,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-03-31,2023-03-31,4:30pm,,,0,0,$10.00,$0.00,$1.30,$11.30,$10.45,$9.75,,2023-04-05,100536051897708
B-9XG8JRV,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-31,2023-03-31,4:30pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-04-05,100536051897708
B-9XG8JRV,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-03-31,2023-03-31,4:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.67,$14.62,,2023-04-05,100536051897708
B-Y67VE7W,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-03-30,2023-03-31,8:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-04-04,100536051840463
B-RA46N89,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-31,2023-03-31,8:00pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.33,-$29.23,,,
B-RA46N89,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-29,2023-03-31,8:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,2023-04-03,100536051800968
B-X96VNAY,fulfilled,FUBAR Booster,XXXXX,XXXXX,2x BOOSTER,2023-03-09,2023-03-31,7:30pm,,,1,0,$60.00,$0.00,$7.80,$67.80,$62.78,$58.58,,2023-03-14,100536050809291
B-X96VNAY,fulfilled,FUBAR Booster,XXXXX,XXXXX,2x BOOSTER,2023-03-31,2023-03-31,7:30pm,,,0,0,-$60.00,$0.00,-$7.80,-$67.80,-$62.78,-$58.58,,,
B-EJ85GRD,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-30,2023-04-01,5:30pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,2023-04-04,100536051840463
B-KYDVK6Z,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-11,2023-04-01,9:00pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-16,100536051084960
B-KYDVK6Z,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-11,2023-04-01,9:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.34,$29.24,,2023-03-16,100536051084960
B-KYDVK6Z,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-01,2023-04-01,9:00pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.34,-$29.24,,,
B-WN5873D,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-28,2023-04-01,6:30pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,2023-03-31,100536051694142
B-WN5873D,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-01,2023-04-01,6:30pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.33,-$29.23,,,
B-678YAA8,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-24,2023-04-01,3:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-03-29,100536051585629
B-DP8XJZR,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-24,2023-04-01,2:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.88,$19.48,Happy Birthday Hilario,2023-03-29,100536051585629
B-NZ5ER5J,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-29,2023-04-01,5:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-04-03,100536051800968
B-8P8GWZG,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-29,2023-04-01,1:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,2023-04-03,100536051800968
B-JEX9GGV,fulfilled,FUBAR Booster,XXXXX,XXXXX,Refund,2023-04-01,2023-04-01,12:00pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.39,-$29.29,PAID,2023-04-06,100536051952160
B-JEX9GGV,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-03-02,2023-04-01,12:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.39,$29.29,PAID,2023-03-07,100536050253351
B-776YEEN,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-04-03,2023-04-04,4:00pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.88,$19.48,Custom message: Happy Birthday!,2023-04-06,100536051952160
B-X9GWAPG,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-04-04,2023-04-04,5:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-04-07,100536052028111
B-JE38ADR,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-04-03,2023-04-05,4:00pm,,,1,0,$10.00,$0.00,$1.30,$11.30,$10.43,$9.73,,2023-04-06,100536051952160
B-EJPM6WG,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-04-03,2023-04-05,8:00pm,,,1,0,$17.00,$0.00,$2.22,$19.22,$17.75,$16.55,,2023-04-06,100536051952160
B-RA43YY9,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-03-31,2023-04-06,7:30pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.90,$19.50,,2023-04-05,100536051897708
B-RA43YY9,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-03-31,2023-04-06,7:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.67,$14.62,,2023-04-05,100536051897708
B-678R6D8,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-03-28,2023-04-07,9:00pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-03-31,100536051694142
B-678R6D8,fulfilled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-03-28,2023-04-07,9:00pm,,,0,0,$8.50,$0.00,$1.11,$9.61,$8.87,$8.27,,2023-03-31,100536051694142
B-55JP6VN,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-07,2023-04-07,10:30pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.36,-$29.26,,,
B-55JP6VN,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-07,2023-04-07,10:30pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.36,$29.26,,2023-04-12,100536052217553
B-X9G9M75,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-04-05,2023-04-07,6:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-04-10,100536052100145
B-X9G9M75,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-04-05,2023-04-07,6:00pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.90,$19.50,,2023-04-10,100536052100145
B-X9G9M75,fulfilled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-04-05,2023-04-07,6:00pm,,,1,0,$8.50,$0.00,$1.11,$9.61,$8.89,$8.29,,2023-04-10,100536052100145
B-3ZYDYPN,canceled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-04-04,2023-04-07,8:30pm,,,1,0,$8.50,$0.00,$1.11,$9.61,$8.88,$8.28,,2023-04-07,100536052028111
B-3ZYDYPN,canceled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-04-04,2023-04-07,8:30pm,,,0,0,$10.00,$0.00,$1.30,$11.30,$10.44,$9.74,,2023-04-07,100536052028111
B-3ZYDYPN,canceled,Crate of Glass,XXXXX,XXXXX,Refund,2023-04-04,2023-04-07,8:30pm,,,0,0,-$10.00,$0.00,-$1.30,-$11.30,-$10.44,-$9.74,,2023-04-07,100536052028111
B-3ZYDYPN,canceled,Color bomb,XXXXX,XXXXX,Refund,2023-04-04,2023-04-07,8:30pm,,,0,0,-$8.50,$0.00,-$1.11,-$9.61,-$8.88,-$8.28,,2023-04-07,100536052028111
B-8P3AKWE,confirmed,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-04-04,2023-04-07,8:45pm,,,1,0,$10.00,$0.00,$1.30,$11.30,$10.44,$9.74,,2023-04-07,100536052028111
B-8P3AKWE,confirmed,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-04-04,2023-04-07,8:45pm,,,0,0,$8.50,$0.00,$1.11,$9.61,$8.88,$8.28,,2023-04-07,100536052028111
B-P5GR979,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-04-07,2023-04-07,4:15pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.08,$1.94,,2023-04-12,100536052217553
B-AG85ZVW,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-04-02,2023-04-08,6:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-04-06,100536051952160
B-V4GY4WW,fulfilled,Wreck It Tee,XXXXX,XXXXX,2x Wreck It Tee,2023-04-07,2023-04-08,7:00pm,,,1,0,$60.00,$0.00,$7.80,$67.80,$62.76,$58.56,,2023-04-12,100536052217553
B-V4GY4WW,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-04-07,2023-04-08,7:00pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-04-12,100536052217553
B-V4GY4WW,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-04-07,2023-04-08,7:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.69,$14.64,,2023-04-12,100536052217553
B-EJ8GVVP,fulfilled,Large Item,XXXXX,XXXXX,2x Large Item,2023-04-08,2023-04-08,10:30pm,,,0,0,-$25.75,$0.00,-$3.35,-$29.10,-$26.95,-$25.15,,2023-04-14,100536052388584
B-EJ8GVVP,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-04-01,2023-04-08,10:30pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-04-06,100536051952160
B-EJ8GVVP,fulfilled,Large Item,XXXXX,XXXXX,2x Large Item,2023-04-01,2023-04-08,10:30pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.40,$29.30,,2023-04-06,100536051952160
B-EJ8GVVP,fulfilled,Crate of Glass,XXXXX,XXXXX,2x 1 crate,2023-04-01,2023-04-08,10:30pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.94,$19.54,,2023-04-06,100536051952160
B-EJ8GVVP,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-01,2023-04-08,10:30pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.41,$29.31,,2023-04-06,100536051952160
B-EJ8GVVP,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-08,2023-04-08,10:30pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.41,-$29.31,,2023-04-14,100536052388584
B-EJ8GVVP,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-04-01,2023-04-08,10:30pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-04-06,100536051952160
B-EJ8GVVP,fulfilled,Color bomb,XXXXX,XXXXX,4x (1) Color Bomb,2023-04-01,2023-04-08,10:30pm,,,0,0,$34.00,$0.00,$4.44,$38.44,$35.60,$33.20,,2023-04-06,100536051952160
B-WNGX8Y5,canceled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-04-07,2023-04-08,5:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.42,$29.32,,2023-04-12,100536052217553
B-WNGX8Y5,canceled,Large Item,XXXXX,XXXXX,1x Large Item,2023-04-07,2023-04-08,5:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.71,$14.66,,2023-04-12,100536052217553
B-WNGX8Y5,canceled,Color bomb,XXXXX,XXXXX,1x (1) Color Bomb,2023-04-07,2023-04-08,5:00pm,,,0,0,$8.50,$0.00,$1.11,$9.61,$8.91,$8.31,,2023-04-12,100536052217553
